"Timestamp","What is your age? (optional)","Indicate your level of experience in the domain of datapack development.","How many datapacks have you released?","Indicate your familiarity with computer programming outside of minecraft datapacks","How often do you develop datapacks as a hobby (with no financial compensation)?","How often do you develop datapacks for financial compensation (for other people)?","Which code editor(s) do you use? (select all the apply)","Which productivity features from your code editor do you value? (select all that apply and are present in your code editor)","Do you use a precompiler or external scripts to automate file generation?","How often do you rely on libraries (player motion, string uuid, floating point math...) written by others?","How often do you use LLMs (AI chatbots, agentic coding) to write datapack code?","How many people do you usually work with in datapack development (excluding yourself)?","Indicate which features from a formal version control system (such as Git) you use to manage your codebase and track changes? (leave blank if none apply)","Do you release your datapacks in cycles (iteratively, excluding beta tests), or do you release them only once they are ready?","If you work in a group, what type of software development process do you use? (leave blank if you work alone)","How often do you comment your code?","If you comment, how much do you comment your code?","How many beta testers test your code quality and project functionality before release?","On average, how long do you spend maintaining a datapack (fixing bugs, updating to new Minecraft versions) after its initial release?","Estimate the percentage of time optimization/refactoring consumes in your datapack development process","To which coding conventions to you adhere to? (select all that apply)","How do you track and manage bugs or feature requests from your users (e.g., GitHub Issues, Discord channels, informal feedback)?","Open space for comments on methodologies, software processes, whatever you think could help me.","Open space for comments on what part of developing datapacks you dislike the most"
"2026/05/27 5:45:37 pm CET","23","6","5","5","7","1","Default text editor;VSCode with datapack specific extensions","Syntax highlighting;Syntax validation","I only write in plain mcfunction","1","1","0","To store and recover my code;To have access to previous versions of my code;To host my wiki;To label and host releases of your datapack","2","","7","5","10","I am still actively maintaining it","25","Namespacing;Yellow Shulker Box","Discord channels;Informal Feedback;In person friend feedback","Most of the knowledge is not found in formalized documents (Smithed is a VERY NICHE place!) but rather found in experimentation, discussions, and inside the heads of those more experienced. Like many companies, the flow of knowledge between individuals relies primarily on the connections people make within the community rather than strict documents. The wiki serves partially as formal documentation, but there are a very large number of gaps in more complex subjects. Did you know that attributes take forever to update with few exceptions? What about how world generation places items? Some of it is documented, but not much!","There are a number of issues such as the inability to directly manipulate player momentum/velocity, the limitations with measuring it, the difficulty in getting player input reliably, and more all lead to a more frustrating experience. There are libraries that help overcome this, but I have committed to writing commands by hand and thus do not have access to them."
"2026/05/27 5:45:38 pm CET","23","7","22","7","7","1","Notepad++;VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation;ruff, pyright strict. In the question below you forgot StewBeet","Precompiler (Beet, Kore, CBScript,..)","7","4","1","To store and recover my code;To use different branches;To have access to previous versions of my code;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack;No need to host wiki, we use ingame-manual if necessary","6","","7","4","0","Still maintaining it. Very easy when using preprocessors like StewBeet","50","Smithed;Namespacing;Loading messages for people with ""convention.debug"" tag. LaternLoad also","Github Issues;Discord channels;Informal Feedback;In person friend feedback","Use preprocessors for better abstraction of your code, making it easier to update through Minecraft versions, and focus on your actual project rather than file management.","Custom Blocks: we need to do hacks. We can't easily modify player list. /motion, /heal, maybe more like modifying player's nbt. Can't store an entity reference for O(1) access => annoying for optimization. 20-ticks left click detection. /team hex colors. That's all I can think of right now."
"2026/05/27 5:46:48 pm CET","20","7","9","7","5","5","VSCode with datapack specific extensions","Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","1","1","0","To store and recover my code","2","","6","2","3","I only fix major bugs upon request of close friends","40","Namespacing","In person friend feedback","I rely heavily on fail fast methodology. I want things to either work perfectly or explode.","I very much dislike that Mojang removed the ability to comment in JSON files."
"2026/05/27 5:49:19 pm CET","26","5","2","7","3","1","VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation","I only write in plain mcfunction","2","1","1","To store and recover my code;To have access to previous versions of my code;To use a CI/CD pipeline;To use a project board;To track bugs and issues;To label and host releases of your datapack","1","Unstructured meetings","4","4","2","I stop as soon as it's released","25","Namespacing","Informal Feedback","",""
"2026/05/27 5:51:19 pm CET","23","7","14","7","3","1","VSCode with datapack specific extensions","Syntax highlighting","Precompiler (Beet, Kore, CBScript,..)","3","1","0","To store and recover my code;To have access to previous versions of my code;To track bugs and issues;To label and host releases of your datapack","2","Asynchronous Discord Messages (small team)","2","2","0","As long as I find time for it in my free time","40","Smithed;Namespacing","Github Issues;Discord channels;Additionally Comments on PMC and Discord DMs","","- I wish multiple functions could be declared in the same file
- I wish resource pack and data pack could be shipped together
- I wish config files and/or constants could be defined
- I wish we had better variables and handling of them, macros and scoreboards have limitations"
"2026/05/27 5:51:39 pm CET","24","7","12","7","6","2","VSCode with datapack specific extensions","Code completion","External scripts (python to generate repetitive commands, files,...)","2","1","6","To store and recover my code;To use different branches;To have access to previous versions of my code;To label and host releases of your datapack","3","I just put my ideas in Discord and implement them when the team approves","6","2","0.5","Depends on how requested the pack is for the new releases","10","Namespacing","Informal Feedback","","Poor support of mathematical operations (like floating point division) in an efficient manner"
"2026/05/27 5:51:53 pm CET","24","7","15","7","3","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting","I only write in plain mcfunction","2","1","1","To store and recover my code;To use different branches;To have access to previous versions of my code;To host my wiki;Code collaboration","4","Often pairing or planning in vc or text","2","2","0","Depends on the project","30","Namespacing","Github Issues;Discord channels","","Selector performance is a gripe, only being able to have one entity at a time stored in a performant selector (@s)

Lack of proper floating point operations is also a bit annoying."
"2026/05/27 5:52:43 pm CET","21","6","1","5","6","2","VSCode with datapack specific extensions","Syntax highlighting;Syntax validation","I only write in plain mcfunction","4","1","1","To store and recover my code;To have access to previous versions of my code;To host my wiki;To use a CI/CD pipeline;To label and host releases of your datapack","3","Unstructured meetings","7","2","10","Until the next update that forces me to rewrite a majority of the code","25","Smithed;Namespacing","Informal Feedback;In person friend feedback","",""
"2026/05/27 5:54:09 pm CET","22","4","0","7","4","1","VSCode with datapack specific extensions;Zed","Syntax highlighting","I only write in plain mcfunction","1","1","0","To store and recover my code;To use different branches;To have access to previous versions of my code","1","","5","6","0","I stop as soon as it's released","0","Namespacing","Informal Feedback;In person friend feedback","",""
"2026/05/27 5:54:16 pm CET","","5","5","3","7","1","VSCode with datapack specific extensions","Syntax highlighting;Syntax validation","I only write in plain mcfunction","3","1","3","None","4","Unstructured meetings","4","4","5","I am still actively maintaining it","40","None","Informal Feedback;In person friend feedback","",""
"2026/05/27 5:54:27 pm CET","","6","6","6","7","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","Precompiler (Beet, Kore, CBScript,..)","2","1","2","To store and recover my code;To use different branches;To have access to previous versions of my code;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","2","Structured meetings","7","3","2","I am still actively maintaining it","70","Smithed;Namespacing;Function Headers","Github Issues;Discord channels;Informal Feedback;In person friend feedback","",""
"2026/05/27 5:57:29 pm CET","26","7","4","7","5","3","VSCode with datapack specific extensions;Sublime Text","Syntax highlighting","Precompiler (Beet, Kore, CBScript,..)","6","3","10","To store and recover my code;To use different branches;To have access to previous versions of my code;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","6","Unstructured meetings","5","7","10","Every MC update","30","Smithed;Namespacing","Github Issues;Discord channels;Informal Feedback;In person friend feedback","I employ a lot of structural software architecture design principles especially when leveraging pre-compiled stacks like beet. This helps me leverage my expansive professional software engineering knowledge in unique ways for designing MC interactions and more. I also am a large proponent of experimentation before solidification so that useful patterns can be explored (such as fancy developer abstractions or unique in-game data management systems).

Game-dev principles can match fairly nicely with design elements with data packs. things like component based design and object oriented approaches can be interesting techniques esp. when combined with a higher-level language that produces mcfunction.","The mcfunction syntax is very limited in it's ability to manage scope leading me to use pre-compiler stacks such as beet. This means I spend a lot of my time within the Minecraft commands space writing python to manage said commands. There's also a lot of weirdly specific interactions with the game that cause a lot of churn and problematic interactions when writing commands. Also, the game is missing a lot of key features that cause a lot of hard edges (for example resource pack loading, missing item components, and soon to be re-design entity nbt -> components) that means there's always a better language space that the one you are currently in so there's a lot of churn and breaking changes constantly. "
"2026/05/27 5:59:11 pm CET","21","5","7","5","2","5","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","2","1","0","To store and recover my code;To use different branches;To have access to previous versions of my code;To host my wiki;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","6","","7","5","0","I am still actively maintaining it","65","Smithed;Namespacing","Github Issues;Informal Feedback","",""
"2026/05/27 5:59:45 pm CET","13","5","68","3","7","6","Notepad++;VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation","I only write in plain mcfunction","2","1","1","To host my wiki","1","","5","3","0","I am still actively maintaining it","25","None, i have never been to one or have participated in ond","Discord channels","None","None"
"2026/05/27 6:01:35 pm CET","","6","3","6","5","2","VSCode with datapack specific extensions","Syntax highlighting","Precompiler (Beet, Kore, CBScript,..)","2","1","0","To store and recover my code;To have access to previous versions of my code;To use a CI/CD pipeline;To label and host releases of your datapack","5","","2","3","0","I stop as soon as it's released","30","Smithed;Namespacing","Discord channels","",""
"2026/05/27 6:01:58 pm CET","19","5","3","3","7","1","Default text editor;VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation","I only write in plain mcfunction","1","1","0","To store and recover my code","1","","5","1","2","I am still actively maintaining it","45","Namespacing","Discord channels;Informal Feedback","",""
"2026/05/27 6:03:55 pm CET","22","7","3","7","5","1","VSCode with datapack specific extensions","File creation;Syntax highlighting","Precompiler (Beet, Kore, CBScript,..)","4","1","1","To store and recover my code;To use different branches;To have access to previous versions of my code;To host my wiki;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","5","Unstructured meetings","4","4","3","Until I get bored ","25","Smithed;Namespacing","Github Issues;Discord channels;Informal Feedback","hi asdwoo","hi asdwoo"
"2026/05/27 6:08:51 pm CET","29","7","8","3","4","7","VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation","Precompiler (Beet, Kore, CBScript,..)","1","1","4","NA, cannot leave blank","6","Unstructured meetings","7","5","30","I am still actively maintaining it","90","Smithed;Namespacing","Discord channels","Since I create data packs for my full time job and for my hobby, my answers are a little all over the place. For instance, I have only released 8 data packs that I developed as a hobby, because the data packs I create for work don't get released, they're just used in videos. However, I still get paid for that work, so that informs how much time I spend on such packs and how many people I work with broadly","Data driven blocks"
"2026/05/27 6:11:34 pm CET","27","7","7","6","7","1","VSCode with datapack specific extensions","Syntax highlighting;Syntax validation","Precompiler (Beet, Kore, CBScript,..)","5","2","1","To store and recover my code;To use different branches;To have access to previous versions of my code;To use a CI/CD pipeline;To label and host releases of your datapack","6","Structured meetings","5","4","2","I am still actively maintaining it","40","Smithed;Namespacing","Github Issues;Discord channels","","I like the limitations of minecraft and mcfunction, it forces you to be creative to solve problems"
"2026/05/27 6:12:17 pm CET","26","7","8","7","7","1","VSCode with datapack specific extensions;Zed","Code completion;Syntax highlighting;Syntax validation;Definition jumping","Precompiler (Beet, Kore, CBScript,..)","1","1","0","To store and recover my code;To use different branches;To have access to previous versions of my code","2","","2","2","0","Until the next update that forces me to rewrite a majority of the code","20","Namespacing","Github Issues","I use all three of beet, external scripts, and plain mcfunction, but I could only select one for that question.",""
"2026/05/27 6:14:56 pm CET","21","6","0","2","7","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","1","2","0","To store and recover my code","1","","4","2","3","I am still actively maintaining it","24","Namespacing","Discord channels","",""
"2026/05/27 6:18:33 pm CET","22","6","5","6","6","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","I only write in plain mcfunction","3","1","0","To store and recover my code;To have access to previous versions of my code","1","","5","4","0","Until the next update that forces me to rewrite a majority of the code","20","?","Discord channels;Informal Feedback","",""
"2026/05/27 6:19:46 pm CET","21","6","0","5","3","1","VSCode with datapack specific extensions;VSCode with no extensions","Code completion;Syntax highlighting;Syntax validation","I only write in plain mcfunction","1","1","0","To store and recover my code;To track bugs and issues","1","","7","7","3","Until the next update that forces me to rewrite a majority of the code","30","Namespacing","Informal Feedback","",""
"2026/05/27 6:23:37 pm CET","","7","1","7","7","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation;Regex & multicursor","External scripts (python to generate repetitive commands, files,...)","1","1","3","To store and recover my code;To use different branches;To have access to previous versions of my code;To host my wiki;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","7","No meetings, all text-based organization.","7","3","50","I am still actively maintaining it","5","Smithed;Namespacing;Advancement trigger organization & strict folder structure","Github Issues;Discord channels;Informal Feedback;In person friend feedback","Many users struggle with managing both porting and releasing content—the versioning issue of porting to new Minecraft versions while developing new content is troublesome. Without a solid structure of branches and semver, it's practically impossible to release beta versions for ports and for new content at the same time.","mcfunction is a poor solution for many processes due to the lack of optimization. A single NBT read serializes the entire compound, which can cause a massive performance hit. JSON-based, data-driven structures for features like blocks would be far better than janky existing solutions."
"2026/05/27 6:26:30 pm CET","19","7","2","2","7","2","Notepad++;VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","1","1","0","To store and recover my code;To use different branches;To have access to previous versions of my code;To host my wiki","7","","4","6","2","I am still actively maintaining it","50","Smithed;Namespacing","Discord channels;Informal Feedback","",""
"2026/05/27 6:28:43 pm CET","21","6","4","4","7","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting","External scripts (python to generate repetitive commands, files,...)","2","1","0","To store and recover my code;To use different branches;To have access to previous versions of my code;To host my wiki;To track bugs and issues;To label and host releases of your datapack","2","","6","5","0","Until the next update that forces me to rewrite a majority of the code","20","Smithed;Namespacing","Github Issues;Discord channels;Informal Feedback","I prefer not to do this, but sometimes it is necessary to hardcode an entire mcfunction file containing data that you will need in the rest of the data pack, due to the inability to get that data in other ways.","I dislike the functionality that is limited to JSON structure (instead of mcfunction code), as the developers specifically have to add cases to make it more flexible."
"2026/05/27 6:29:28 pm CET","24","7","10","7","6","1","VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation","I only write in plain mcfunction","2","1","0","To store and recover my code;To use different branches;To have access to previous versions of my code;To track bugs and issues;To label and host releases of your datapack","4","Unstructured meetings","7","7","0","I am still actively maintaining it","10","Namespacing","Github Issues;Informal Feedback","I've used Beet + Bolt once, plan on using it more. Before I would often use Python scripts for generating functions with repetitive commands.

For comments I use headers loosely following the deprecated IMP-doc, documenting relevant storage/scoreboard IO, macro variables, result/success.

Reliant on Spyglass for about everything. I don't use mcstacker / misode's generators.

If a datapack requires something annoying to implement that could be useful in other contexts, I'd rather release it as a standalone lib.","Can't do much about core game aspects (adding blocks, entity types).

Data operations (on e.g. storage) are fundamentally flawed, think how any list operation requires iterating on a stack which is either destructive or requires deep copying the whole thing or dynamic indexing for which you have to use macros and recompile everything many times

The limitations of functions as a programming language are what makes it fun, if I wanted to code on something more powerful and easy to use I'd be modding :>"
"2026/05/27 6:32:45 pm CET","","5","0","4","6","2","VSCode with datapack specific extensions","File creation;Syntax highlighting","I only write in plain mcfunction","1","1","1","To have access to previous versions of my code","2","Unstructured meetings","2","3","1","I stop as soon as it's released","5","Smithed","In person friend feedback","",""
"2026/05/27 6:33:30 pm CET","18","3","4","6","7","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","Precompiler (Beet, Kore, CBScript,..)","2","3","0","To store and recover my code;To use different branches;To have access to previous versions of my code;To track bugs and issues","1","","4","4","0","I am still actively maintaining it","10","Namespacing","Github Issues","I do work on different evironments, once in a map jam, I'm running out of time and the only thought in my mind is to finish it, so it's low-quality. And another project about implementing RSA in minecraft, that's a nightmire even I used precompiler. These complex logic doesn't fit datapacks at all, so the only thing in my mind, again, is to finish it. Another low-quality project. But the precompiler I'm working on, using modern languages, where I wrote tons of comments and unit tests... Turns out, Minecraft datapack just sucks for complicated needs, at least for me.",""
"2026/05/27 6:36:23 pm CET","24","6","5","5","7","1","VSCode with datapack specific extensions","Syntax highlighting;Syntax validation;quick navigation between resources (functions, loot_tables, item modifiers, etc.)","I only write in plain mcfunction","1","2","0","To store and recover my code;To use different branches;To have access to previous versions of my code;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","4","","2","4","1","depends, I prefer to actively maintain, but I've fallen behind, and when I have time I'm working on new project, which will be relevant to updates of my other works","10","I'm working on my own set of conventions","Github Issues;Informal Feedback;In person friend feedback","NOTE: I haven't finished writing or implemented all of these rules in my projects just yet.

## NAMESPACING:

I use triple namespacing with affixes: `project_name.api`, `project_name.internal`, `command.project_name`.

- `api` namespace contains a stable api surface within the project major version, for external use.
- `internal` is for the code that should not be touched directly from the outside, which is the majority of the code, and is subject to frequent random changes.
- `command` is for functions that are meant to be used by the player like a normal command. These are also provided via a chat based interactive GUI (fully custom icons, composable from data packs - in text components. There's a lot of naming and organization patterns, so I won't write it all out here. Still partially WIP though).

As opposed to others, `command` is a prefix, to group all the related end-used-facing functions across projects together for easier access for players in chat.

I don't use abbreviations for namespaces, and avoid them in general.

## MAIN STRUCTURE:

I organize code within top-level (directly inside ""function"" dir, etc.) directories, each relating to a feature `module`, such as `animation`, `item`, `effect`, `cooldown`...
Modules are self enclosed specialized systems.

I run all my tick code from a 2 `@a` and a single `@e` selector and heavily rely on `@s` checks throughout my projects.
I try to avoid selectors other that `@s` as much as possible.

Next to those top-level module dirs, there are also:

- `core`: main data pack non-content structure: load, tick, etc.
- `util`: random reusable utilities
- `data`: general data initialization and handling for scoreboards, storage, constants
- `config`: anything regarding data pack configuration
- `error`: error handling system (mainly for api io)

I group related execution paths and terminate early with `if score`, `if entity @s[tag=<...>]`, etc.

## FUNCTION NAMING:

When relevant I use these naming pattern for functions, and directories, in which case the meaning applies to all contenst of the dir:

- `_m` postfix - macro
- `if_` prefix - returns a success state for the stated condition to be used in the `execute if function` command chain.
- `if_<...>_then_<...>`, same as `if_` but when the condition is met, also performs another action. Still returns the success of the condition.
- `if_<...>_else_<...>`, same as above but the extra action takes place when the condition is not met.
- `get_` prefix - returns some sort of data, by setting a specific scoreboard or data storage value.

## DATA:

I namespace all scoreboards and scoreboard tags (`/tag` command). Same with top level object in custom data components. These namespaces include the sub-namespace (`project_name.api`, etc).

I type all my data with mcdoc, and make it extensible for relevant api data.
I validate type (and contents when possible) of data incomming via the api.

I build optional api systems to be only enabled by other projects during load time. These auto disable themselves. This avoids developers not disabling them, or other data packs being removed by the player without running the cleanup first.

## COMPATIBILITY:

I maintain the main `data` dir with the code for the version supported by the pack (for multi version packs), and add backwards compatibility fixes in overlays. An example overlay name is: `compat_until_	1_21_10` (inclusive), a lower bound would be `since_x_y_z`.

I always strive to make my data packs fully featured for all environments: single/multi-player, hardcore, except peaceful mode. All the content needs to be accessible in all cases, but peaceful.

## HAVE A NICE DAY!

This is all for a WIP data pack framework (itself a data pack).

Feel free to ask more on discord: `rafalberezin`.

Also, I want to solve Advent of Code (2015) with data packs. Due to lack of time I completed first 3 days so far and have a break from minecraft (so I might have forgot or misremembered something here too).","I wish we had a `previous` selector as a counterpart to `@s` so we could get the previous entity without doing expensive `@e` search."
